state,district,id,total_liabilities,revenues,lib_rev_ratio,lat,lon
CA,Los Angeles Unified School District,146329,29653109000,9124800000,324.9727008,34.056482,-118.2576145
FL,The School Board of Miami-Dade County,32380,6325737000,4120010000,153.5369332,25.7890489,-80.1910248
NV,Clark County School District,35528,7278369954,3748080450,194.189267,36.1452783,-115.2111637
FL,The School Board of Broward County,93794,4251168000,3041050000,139.7927689,26.114715,-80.140143
FL,The School District of Hillsborough County,32396,2502458869,2451375686,102.0838578,27.949404,-82.452712
TX,Houston Independent School District,38988,4918438580,2881150552,170.7109188,29.8025303,-95.4542532
FL,Orange County District School Board,102323,2680621894,2676919286,100.138316,28.54956,-81.385152
FL,The School District of Palm Beach County,32416,3401701000,2551761000,133.3079783,26.651041,-80.092632
VA,Fairfax County Public Schools,88704,4569398476,3287156083,139.0076516,38.869616,-77.221998
GA,Gwinnett County Board of Education,70981,4534969007,2365656996,191.7001922,33.9502122,-83.9995695
MD,Montgomery County Public Schools,33968,3663139490,3195067624,114.6498266,39.094784,-77.1582238
NC,Wake County Board of Education,36675,2749372028,1970695735,139.5127609,35.7549257,-78.7365209
TX,Dallas Independent School District,38892,4757887523,2323118295,204.8060804,32.8765543,-96.7682579
NC,Charlotte-Mecklenburg Board of Education,36608,2559051000,1799355000,142.2204623,35.23245,-80.807853
MD,Prince George’s County Public Schools,189873,3459634368,2405571401,143.8175714,38.8151141,-76.7588579
PA,School District of Philadelphia,87525,8193140034,3861891368,212.1535603,39.9619271,-75.1617091
FL,Duval County Public Schools,148093,1094293954,1315060542,83.2124392,30.3164033,-81.6553862
TX,Cypress-Fairbanks Independent School District,38984,4145823676,1382684090,299.8388212,30.0014149,-95.5836166
MD,Board of Education of Baltimore County-Public Schools,171323,2428010000,1955757000,124.1468137,39.404014,-76.6301799
TN,Board of Education of Shelby County,91458,958891499,1336828018,71.72886011,33.179856,-86.601937
GA,Cobb County School District,70971,2217236000,1517922000,146.0704832,34.160939,-84.183638
TX,Northside Independent School District,38820,3032820362,1322943080,229.2479856,34.305399,-99.298904
FL,School District of Polk County,98989,1056455681,1149637602,91.89467004,27.8765897,-81.845324
CA,San Diego Unified School District,146593,6421488110,1987911916,323.026793,32.752948,-117.147716
KY,Jefferson County Board of Education,33679,1662666688,1572818250,105.712576,33.4879109,-86.7937682
FL,District School Board of Pinellas County,69989,931076698,1129321171,82.44569587,27.9142486,-82.7922046
GA,Dekalb County Board of Education,105280,2301940046,1466773135,156.9390652,34.4967828,-85.8513367
FL,The School District of Lee County,32402,1278007845,1150757420,111.0579713,26.5997091,-81.8535642
GA,Fulton County Board of Education,70979,1976650177,1409931971,140.1947199,33.6812512,-84.4145231
VA,Prince William County Public Schools,197665,1241056033,1408855587,88.08965549,38.6365079,-77.4348195
NM,Albuquerque Municipal School District No. 12,35931,2397848787,1198024437,200.1502401,35.1029422,-106.5725587
MD,Anne Arundel County Board of Education,41282,2182951319,1481594562,147.3379678,38.9762758,-76.5593988
CO,Jefferson County School District No R-1,32057,2353743121,1017567920,231.3106648,39.740276,-105.163746
VA,Loudoun County Public Schools,197654,1674258721,1497874074,111.7756659,39.0337573,-77.5172218
UT,Alpine School District,39330,1059030997,758243762,139.6689363,40.3885111,-111.7965504
TX,Katy Independent School District,38990,2787669152,1089968833,255.7567765,29.7803574,-95.8325089
TX,Fort Worth Independent School District,39194,2010513068,1118553390,179.7422533,32.7596699,-97.3605326
TX,Austin Independent School District,39211,2497995416,1757890245,142.1018987,30.272098,-97.755389
MD,Baltimore City Public School System,44313,426185000,1711671000,24.89876851,39.3119022,-76.6131619
TX,Fort Bend Independent School District,38940,1939809685,971061938,199.7616845,29.5896713,-95.6218552
SC,The School District of Greenville County,38341,2523154282,954914212,264.2283726,34.8440916,-82.3959597
FL,Pasco County District School Board,148148,1220077040,823883566,148.0885274,28.2375497,-82.4596929
UT,Davis School District,39313,889548468,728477766,122.1105859,40.980557,-111.8868124
WI,Milwaukee Public Schools,40012,1413229033,1208173119,116.972395,43.0490674,-87.9793295
FL,Brevard District School Board County,93779,970289235,802974791,120.836824,28.2486615,-80.7367153
NC,Guilford County Board of Education,36571,1173118351,796869443,147.2158785,36.0802807,-79.7934905
CA,Long Beach Unified School District,146325,3148525800,1136009100,277.1567411,33.8284958,-118.2101886
CA,Fresno Unified School District,146154,3034261964,1166709424,260.0700656,36.7362627,-119.7869575
FL,Osceola County District School Board,198253,629910852,795253071,79.20885501,28.3272577,-81.3758132
FL,District School Board of Seminole County,32425,601902285,682225811,88.22625519,28.757758,-81.282825
NV,Washoe County School District,35535,2191603737,770757665,284.3440729,39.536735,-119.810089
TX,Aldine Independent School District,38981,1730907415,850679006,203.4736255,30.006761,-95.382511
UT,Granite School District,39321,604234008,696323176,86.77493854,40.716284,-111.888249
TX,Conroe Independent School District,39105,1873250052,742306470,252.3553448,30.320765,-95.485071
TX,North East Independent School District,38819,2132074073,803857410,265.2303812,29.5221047,-98.457999
CA,Elk Grove Unified School District,146106,1218599815,841645710,144.7877415,38.41353,-121.371667
FL,Volusia County District School Board,70626,791182331,663782752,119.1929632,29.0301775,-81.3084695
TX,Frisco Independent School District,38875,2771800196,820388165,337.8644786,33.124747,-96.7965079
TX,Arlington Independent School District,39189,1643859113,759674721,216.3898663,32.708992,-97.123379
MD,Howard County Board of Education,41713,1031229897,1082067035,95.30184948,39.234427,-76.891275
UT,Jordan School District,39322,505146280,534505057,94.50729668,40.627404,-111.984152
WA,Seattle School District No.1,39643,123970331,1263718387,9.809964963,47.5812781,-122.3310438
TX,Garland Independent School District,38895,1028867238,692323253,148.6108163,32.90916,-96.68304
TX,El Paso Independent School District,38929,1635139177,713146693,229.2851096,31.7918517,-106.4000894
TX,Klein Independent School District,38991,1688085132,622051034,271.3740577,30.0482809,-95.5342283
TX,Pasadena Independent School District,38993,1358873648,681880739,199.283184,29.676941,-95.190442
CA,San Francisco Unified School District,146595,2652780917,1290210104,205.6084438,37.7794456,-122.4219102
TX,Plano Independent School District,38877,1471969476,929400425,158.378395,33.019132,-96.746983
CA,Corona-Norco Unified School District,146048,1511591818,699973014,215.9500135,33.9222888,-117.5609158
GA,School District Atlanta Public Schools,70961,1457874182,1064997400,136.8899287,33.752569,-84.389937
TX,Lewisville Independent School District,38905,2016853986,752269010,268.102761,33.0443463,-97.033113
TX,Round Rock Independent School District,39253,1540696369,633743617,243.1103569,30.5116579,-97.6956236
NC,Cumberland County Board of Education,36539,746287666,508669063,146.713791,35.0146626,-78.8965567
GA,Forsyth County Board of Education,32567,1482624205,619104806,239.4787103,34.2322562,-84.1244224
SC,Charleston County School District,43341,2050410740,895123983,229.0644401,32.7880805,-79.93091
FL,Manatee County District School Board,148130,651729633,618558687,105.3626191,27.4951424,-82.5644214
LA,Jefferson Parish Public School System,76062,1465097782,670081371,218.6447565,29.8873486,-90.0555577
OH,Columbus City School District,37083,1621970087,975429971,166.2825764,39.9611971,-82.9911195
CA,San Bernardino City Unified School District,31398,1353469456,797910846,169.6266522,34.1134493,-117.2963364
TX,San Antonio Independent School District,38823,1599347637,777944080,205.5864526,29.4176425,-98.4876524
FL,Collier County District School Board,32378,600855011,691047972,86.94837918,26.123013,-81.762489
TX,Socorro Independent School District,38923,1309743953,568085362,230.5540753,31.700527,-106.271452
CA,Capistrano Unified School District,145992,726686125,527849006,137.6693177,33.4891501,-117.6628187
AK,Anchorage School District,40425,998762854,792866287,125.9686369,61.1943896,-149.7756317
CA,Santa Ana Unified School District,146617,1377591091,766196899,179.7959627,33.742669,-117.846307
TX,Killeen Independent School District,38810,814770682,540849268,150.646535,31.1154273,-97.7114106
TX,Alief Independent School District,38982,791469325,578803997,136.742201,29.712175,-95.596426
TX,Humble Independent School District,44074,1216359655,574949495,211.5593918,30.013007,-95.268461
FL,Lake County District School Board,69471,449502625,493347273,91.11282247,28.810041,-81.733318
MD,Frederick County Public Schools,189882,960164547,718614776,133.6132486,39.4137551,-77.4054154
CA,Clovis Unified School District,146030,1486986076,645722260,230.2826104,36.8373814,-119.6897281
FL,St. Johns County School District,189129,510351766,517943041,98.53434173,29.8978117,-81.3158737
FL,Sarasota County District School Board,70160,528129886,626494574,84.29919554,27.2800553,-82.5379471
KY,Fayette County Public Schools,33654,826524400,631106551,130.9643195,33.684657,-87.831908
FL,Marion District School Board County,32408,402832761,453972755,88.73500812,29.1839236,-82.1325032
TX,United Independent School District,39239,952490231,523010122,182.1169784,27.574779,-99.480551
TX,Brownsville Independent School District,38854,586322178,578818538,101.2963717,25.9356385,-97.4986642
GA,Henry County Board of Education,32581,1132140361,531474199,213.0188753,31.567428,-85.251883
GA,Cherokee County School District,105267,1227419416,528701082,232.1575381,34.151475,-85.67719
TX,Clear Creek Independent School District,38948,1400136500,510697336,274.1617003,29.5223338,-95.0768288