state,acfrs_original_name,id,year,total_liabilities,bonds_outstanding,current_liabilities,leases,loans_outstanding,notes_outstanding,net_pension_liability,net_pension_assets,net_opeb_liability,net_opeb_assets,compensated_absences,charges_for_services,operating_grants,capital_grants,general_revenue,change_in_net_position,expenses,total_operating_revenues,non_operating_revenues,capital_contributions,revenues,name,NCES District ID,nces_original_name,county,student
CA,Los Angeles Unified School District,146329,2020,29653109000,11408196000,1251049000,186000,80000,0,7446273000,0,8578152000,0,90595000,152432000,1958995000,78582000,6934791000,-195267000,9320067000,0,0,0,9124800000,los angeles unified,0622710,Los Angeles Unified,Los Angeles County,483234
FL,The School Board of Miami-Dade County,32380,2020,6325737000,935644000,332872000,40357000,0,0,1948945000,0,201343000,0,328950000,36131000,951699000,74392000,3057788000,-194360000,4314370000,0,0,0,4120010000,miami-dade,1200390,MIAMI-DADE,Miami-Dade County,347307
NV,Clark County School District,35528,2020,7278369954,3227434770,464414104,0,0,0,3186524832,0,281606000,0,69731754,72448329,798165000,1644531,2875822590,215787419,3532293031,6455531,127176168,296346,3748080450,clark,3200060,CLARK COUNTY SCHOOL DISTRICT,Clark County,328991
FL,The School Board of Broward County,93794,2020,4251168000,527029000,387059000,89593000,0,0,1419517000,0,216322000,0,188261000,41665000,682503000,53091000,2263791000,-91343000,3132393000,0,0,0,3041050000,broward,1200180,BROWARD,Broward County,269172
FL,The School District of Hillsborough County,32396,2020,2502458869,147500176,130855672,0,0,0,1166977434,0,208572211,0,197641637,40662832,95815218,8532487,2306365149,-15240452,2466616138,0,0,0,2451375686,hillsborough,1200870,HILLSBOROUGH,Hillsborough County,223305
TX,Houston Independent School District,38988,2020,4918438580,2866660263,441644690,52603995,0,178925000,594268532,0,716497750,0,50540164,7801272,656933298,0,2216415982,173814549,2707336003,0,0,0,2881150552,houston,4823640,HOUSTON ISD,Harris County,210061
FL,Orange County District School Board,102323,2020,2680621894,572000,200205542,1101976781,0,0,1128084763,0,58851299,0,130124266,19241818,97139093,74155618,2486382757,157979125,2518940161,0,0,0,2676919286,orange,1201440,ORANGE,Orange County,208875
FL,The School District of Palm Beach County,32416,2020,3401701000,6498000,193035000,0,26832000,115000000,1151170000,0,199429000,0,212428000,42101000,556919000,23005000,1929736000,-17184000,2568945000,300255000,3603000,0,2551761000,palm beach,1201500,PALM BEACH,Palm Beach County,194675
VA,Fairfax County Public Schools,88704,2020,4569398476,0,175684715,83880860,0,0,3769693854,0,435474585,0,37753965,100575375,339384722,196131691,2651064295,16666146,3270489937,0,0,0,3287156083,fairfax,5101260,FAIRFAX CO PBLC SCHS,Fairfax County,188887
GA,Gwinnett County Board of Education,70981,2020,4534969007,1110894365,240647238,0,0,0,1851016703,0,1187241718,0,15014625,24638351,1109083622,38305852,1193629171,38904357,2326752639,0,0,0,2365656996,gwinnett,1302550,Gwinnett County,Gwinnett County,180589
MD,Montgomery County Public Schools,33968,2020,3663139490,0,261611378,74576053,0,0,554333453,0,2616173765,0,156444841,28123187,151809484,67993188,2947141765,101232724,3093834900,0,0,0,3195067624,montgomery,2400480,Montgomery County Public Schools,Montgomery County,165267
NC,Wake County Board of Education,36675,2020,2749372028,0,81754128,0,0,0,691000187,0,1855820546,2555383,101800437,23817216,1120724055,29681976,796472488,152042170,1818653565,0,0,0,1970695735,wake,3704720,Wake County Schools,Wake County,163404
TX,Dallas Independent School District,38892,2020,4757887523,2859273000,430163655,0,0,143340000,595195671,0,690114814,0,0,5147745,460333166,0,1857637384,137435291,2185683004,16355935,287165,0,2323118295,dallas,4816230,DALLAS ISD,Dallas County,153861
NC,Charlotte-Mecklenburg Board of Education,36608,2020,2559051000,0,136582000,0,0,0,622449000,0,1688234000,2319000,93628000,22265000,162678000,229000,1614183000,99004000,1700351000,0,0,0,1799355000,charlotte-mecklenburg,3702970,Charlotte-Mecklenburg Schools,Mecklenburg County,149845
MD,Prince Georgeâ€™s County Public Schools,189873,2020,3459634368,0,261451174,81831555,0,0,186890787,0,2858119000,0,71341852,12900191,303068129,85005275,2004597806,-59522049,2465093450,0,0,0,2405571401,prince george,2400510,Prince George's County Public Schools,Prince George's County,135952
PA,School District of Philadelphia,87525,2020,8193140034,3547900000,511753446,0,0,0,3571478000,0,179300000,0,211189644,5410393,1177145192,6925955,2672409828,-69358722,3931250090,0,0,0,3861891368,philadelphia,4218990,Philadelphia City SD,Philadelphia County,130617
FL,Duval County Public Schools,148093,2020,1094293954,0,43887020,0,0,0,559189287,0,33766979,0,58511989,13132841,52610769,4382306,1244934626,-19113089,1334173631,0,0,0,1315060542,duval,1200480,DUVAL,Duval County,130279
TX,Cypress-Fairbanks Independent School District,38984,2020,4145823676,3135734455,228162072,0,0,0,354920841,0,416699640,0,6016638,37094567,218249236,0,1127340287,-50732057,1433416147,5846899,49428,0,1382684090,cypress-fairbanks,4816110,CYPRESS-FAIRBANKS ISD,Harris County,117446
MD,Board of Education of Baltimore County-Public Schools,171323,2020,2428010000,0,98823000,102567000,0,0,137969000,0,2045949000,0,30252000,9035000,225920000,129228000,1591574000,-169561000,2125318000,0,0,0,1955757000,baltimore,2400120,Baltimore County Public Schools,Baltimore County,115038
TN,Board of Education of Shelby County,91458,2020,958891499,0,67233887,0,0,0,181063,0,879359591,0,12116958,4126833,752124451,81882717,498694017,174492338,1162335680,0,0,0,1336828018,shelby,4700148,Shelby County,Shelby County,113198
GA,Cobb County School District,70971,2020,2217236000,0,182092000,0,0,99260000,1158513000,0,755723000,0,13059000,67447000,687696000,26356000,736423000,52443000,1465479000,0,0,0,1517922000,cobb,1301290,Cobb County,Cobb County,112097
TX,Northside Independent School District,38820,2020,3032820362,2195401755,109812382,0,0,0,330423641,0,386107674,0,8629236,25232767,223764897,0,1073945416,25388214,1297554866,0,0,0,1322943080,northside,4833120,NORTHSIDE ISD,Bexar County,107817
FL,School District of Polk County,98989,2020,1056455681,193684970,88624854,0,0,6000000,501853478,0,33902309,0,42123376,4024614,52921353,7960023,1084731612,30679307,1118958295,0,0,0,1149637602,polk,1201590,POLK,Polk County,102952
CA,San Diego Unified School District,146593,2020,6421488110,4078135640,283424562,0,332868531,0,1449568000,0,135880213,0,38185704,23754584,395178069,5520180,1563459083,112237198,1875674718,0,0,0,1987911916,san diego unified,0634320,San Diego Unified,San Diego County,102270
KY,Jefferson County Board of Education,33679,2020,1662666688,497526752,125861913,0,0,0,534348849,0,431036181,0,47692705,3534142,144026165,10257913,1415000030,-18421613,1591239863,0,0,0,1572818250,jefferson,2102990,Jefferson County,Jefferson County,100348
FL,District School Board of Pinellas County,69989,2020,931076698,14000,85950164,3873480,0,0,608061187,0,52281715,0,94211770,17754031,37902684,10016909,1063647547,-35955310,1165276481,0,0,0,1129321171,pinellas,1201560,PINELLAS,Pinellas County,99772
GA,Dekalb County Board of Education,105280,2020,2301940046,118060211,165274097,0,0,0,1122765085,0,770250780,0,8089874,3132925,681738196,23903969,757998045,34824150,1431948985,0,0,0,1466773135,dekalb,1301740,DeKalb County,DeKalb County,98800
FL,The School District of Lee County,32402,2020,1278007845,923563,115331940,0,0,8611535,486925058,0,50552528,0,69471993,12196407,42640661,20922985,1074997367,48217076,1102540344,0,0,0,1150757420,lee,1201080,LEE,Lee County,95613
GA,Fulton County Board of Education,70979,2020,1976650177,11495000,147758512,0,0,0,1091755582,0,660783856,0,40915749,30751388,497555673,40654865,840970045,92816105,1317115866,0,0,0,1409931971,fulton,1302280,Fulton County,Fulton County,93897
VA,Prince William County Public Schools,197665,2020,1241056033,0,149774305,0,0,0,880640955,0,159352777,3001795,36717959,17591808,168117634,0,1223146145,118329009,1290526578,0,0,0,1408855587,prince william,5103130,PRINCE WILLIAM CO PBLC SCHS,Prince William County,92237
NM,Albuquerque Municipal School District No. 12,35931,2020,2397848787,598135834,105373655,0,0,7667573,1284568723,0,363064860,0,4774958,57083033,153411824,22974214,897998862,558924478,572543455,98231556,1155266,0,1131467933,albuquerque,3500060,ALBUQUERQUE PUBLIC SCHOOLS,Bernalillo County,88312
MD,Anne Arundel County Board of Education,41282,2020,2182951319,0,195973167,18330228,0,0,64243619,0,1859904000,0,44500305,9800091,192752578,183266366,1095775527,76549816,1405044746,0,0,0,1481594562,anne arundel,2400060,Anne Arundel County Public Schools,Anne Arundel County,84984
CO,Jefferson County School District No R-1,32057,2020,2353743121,678951035,193639125,0,0,0,1347298359,0,66246238,0,5735402,61400855,112158224,0,844008841,286551544,731016376,0,0,0,1017567920,jefferson no r-,0804800,Jefferson County School District No. R-1,Jefferson County,84078
VA,Loudoun County Public Schools,197654,2020,1674258721,0,190203621,25218883,0,0,993580040,0,403737216,0,44238573,16825978,75940321,172769957,1232337818,36584356,1461289718,189502871,0,0,1497874074,loudoun,5102250,LOUDOUN CO PBLC SCHS,Loudoun County,83606
UT,Alpine School District,39330,2020,1059030997,648087149,146552046,5979882,0,0,185909219,0,66222363,0,4792707,29614652,195882899,4686677,528059534,-10714054,768957816,0,0,0,758243762,alpine,4900030,Alpine District,Utah County,83540
TX,Katy Independent School District,38990,2020,2787669152,2104407890,108378177,7455000,0,0,223796599,0,281189550,0,33037942,18618039,144751022,0,926599772,17082743,1072886090,0,0,0,1089968833,katy,4825170,KATY ISD,Fort Bend County,83423
TX,Fort Worth Independent School District,39194,2020,2010513068,1101918135,234239862,0,0,0,305150969,0,352419124,0,8385936,8517711,260696876,0,849338803,43584125,1074969265,0,0,0,1118553390,fort worth,4819700,FORT WORTH ISD,Tarrant County,82891
TX,Austin Independent School District,39211,2020,2497995416,1259752262,804135841,0,1752489,0,118517031,0,302775488,0,0,12359383,194268580,0,1551262282,84932679,1672957566,90599189,637157,0,1757890245,austin,4808940,AUSTIN ISD,Travis County,80911
MD,Baltimore City Public School System,44313,2020,426185000,64165000,301124000,6409000,0,0,0,0,0,0,54487000,39000,192979000,84480000,1434173000,264845000,1446826000,0,0,0,1711671000,baltimore city,2400090,Baltimore City Public Schools,Baltimore city,79187
TX,Fort Bend Independent School District,38940,2020,1939809685,1241447450,215688777,0,0,0,206732032,0,270110960,0,3783094,32229778,173804959,0,765027201,-92545242,1063607180,10362075,0,0,971061938,fort bend,4819650,FORT BEND ISD,Fort Bend County,77756
SC,The School District of Greenville County,38341,2020,2523154282,711803779,143896070,0,0,0,895763981,0,760663343,0,11027109,10604424,450383970,0,493925818,14206563,940707649,0,0,0,954914212,greenville,4502310,Greenville 01,Greenville County,77302
FL,Pasco County District School Board,148148,2020,1220077040,107064327,66761812,28447871,0,0,397711685,220109,98611974,0,39145831,20711487,45792654,38374100,719005325,22202419,801681147,0,0,0,823883566,pasco,1201530,PASCO,Pasco County,76661
UT,Davis School District,39313,2020,889548468,590948844,94121474,0,0,0,181144594,0,0,0,11704564,21386187,135905988,0,571185591,34254237,694223529,0,0,0,728477766,davis,4900210,Davis District,Davis County,74773
WI,Milwaukee Public Schools,40012,2020,1413229033,235263878,81828323,117760309,0,12939012,187257004,0,762277112,0,13336800,29552427,323190316,10409910,845020466,-60093698,1268266817,0,0,0,1208173119,milwaukee,5509600,Milwaukee School District,Milwaukee County,74683
FL,Brevard District School Board County,93779,2020,970289235,1372640,92412721,0,0,0,393361434,0,17244106,0,45586220,13410175,38062128,2778405,748724083,-6142534,809117325,6440117,0,0,802974791,brevard,1200150,BREVARD,Brevard County,73962
NC,Guilford County Board of Education,36571,2020,1173118351,0,26838699,0,0,0,301635944,0,804006602,1114168,38729867,18609816,545132046,8832603,224294978,-25231627,822101070,0,0,0,796869443,guilford,3701920,Guilford County Schools,Guilford County,72682
CA,Long Beach Unified School District,146325,2020,3148525800,1604403010,182972369,0,0,0,922386344,0,425718817,0,13045260,11155221,241290427,8333227,875230225,12432101,1123576999,0,0,0,1136009100,long beach unified,0622500,Long Beach Unified,Los Angeles County,71712
CA,Fresno Unified School District,146154,2020,3034261964,787415362,204081966,0,52959,0,942203000,0,1019190619,0,4534280,2480798,278345288,10632553,875250785,-67104085,1233813509,0,0,0,1166709424,fresno unified,0614550,Fresno Unified,Fresno County,71265
FL,Osceola County District School Board,198253,2020,629910852,110740961,23003444,135208259,0,0,297815602,0,15687722,0,39187184,6004172,148848052,78875950,561524897,85306248,709946823,0,0,0,795253071,osceola,1201470,OSCEOLA,Osceola County,69925
FL,District School Board of Seminole County,32425,2020,601902285,5373691,47248046,0,0,0,346916779,0,18813350,0,24284316,23780283,58504385,16965807,582975336,16078735,666147076,78670353,968521,0,682225811,seminole,1201710,SEMINOLE,Seminole County,68096
NV,Washoe County School District,35535,2020,2191603737,1128410507,94937135,0,0,4626862,716187044,0,196695810,0,35685729,5664600,147832087,1087325,616173653,-10396778,781154443,0,0,0,770757665,washoe,3200480,WASHOE COUNTY SCHOOL DISTRICT,Washoe County,67301
TX,Aldine Independent School District,38981,2020,1730907415,1153879398,114330645,0,0,0,206674704,0,244402754,0,8142914,8122635,160538767,0,682017604,12428861,838250145,0,0,0,850679006,aldine,4807710,ALDINE ISD,Harris County,67259
UT,Granite School District,39321,2020,604234008,256078557,83865317,0,0,0,214554003,0,1982613,0,5101079,13999187,207452231,0,474871758,20650425,675672751,0,0,0,696323176,granite,4900360,Granite District,Salt Lake County,66276
TX,Conroe Independent School District,39105,2020,1873250052,1424833695,72430287,0,0,0,169824823,0,205866828,0,294419,8489531,104132379,0,629684560,11725074,730581396,0,0,0,742306470,conroe,4815000,CONROE ISD,Montgomery County,64799
TX,North East Independent School District,38819,2020,2132074073,1536119240,113954179,16080,0,0,184611924,0,237167621,0,5217375,25019262,120893482,0,657944666,-33005038,836862448,8476991,0,0,803857410,north east,4832940,NORTH EAST ISD,Bexar County,64539
CA,Elk Grove Unified School District,146106,2020,1218599815,280030239,0,14050237,0,0,749359000,0,11770913,0,16169700,22785700,171805100,11285395,635769515,-46093336,887739046,0,0,0,841645710,elk grove unified,0612330,Elk Grove Unified,Sacramento County,63660
FL,Volusia County District School Board,70626,2020,791182331,33859056,31114348,300298038,0,0,338806631,0,18586161,0,62019497,7287817,21844451,16359273,618291211,-5995213,669777965,0,0,0,663782752,volusia,1201920,VOLUSIA,Volusia County,63009
TX,Frisco Independent School District,38875,2020,2771800196,2252532141,142173875,0,0,0,182078056,0,195016124,0,0,36129968,71108796,0,713149401,-12287776,832675941,0,0,0,820388165,frisco,4820010,FRISCO ISD,Collin County,62705
TX,Arlington Independent School District,39189,2020,1643859113,1097932513,109491434,0,0,2534161,202083399,0,231749147,0,0,6177653,153420351,0,600076717,2900351,756774370,2170277,87297,0,759674721,arlington,4808700,ARLINGTON ISD,Tarrant County,59532
MD,Howard County Board of Education,41713,2020,1031229897,0,101872185,5666789,0,0,50666596,0,849712337,0,12040282,4153559,171756182,41856506,864300788,-30400186,1112467221,0,0,0,1082067035,howard,2400420,Howard County Public Schools,Howard County,58868
UT,Jordan School District,39322,2020,505146280,242630552,88685721,0,0,0,154946340,0,2387087,0,4981898,21953964,133329099,2415335,376806659,-4444248,538949305,0,0,0,534505057,jordan,4900420,Jordan District,Salt Lake County,57771
WA,Seattle School District No.1,39643,2020,123970331,20421000,79164626,0,0,0,295248620,0,0,0,0,0,0,0,1263718387,74900795,1188817592,0,0,0,1263718387,seattleno,5307710,Seattle School District No. 1,King County,55986
TX,Garland Independent School District,38895,2020,1028867238,557829529,78668996,983047,0,6466357,176503815,0,204393433,0,1151090,9028933,121875947,0,561418373,39301190,653022063,0,0,0,692323253,garland,4820340,GARLAND ISD,Dallas County,55701
TX,El Paso Independent School District,38929,2020,1635139177,1016034687,162416367,10832688,0,53635245,165283406,0,214670423,0,10963143,4682509,169440796,0,539023388,3563049,709583644,31187573,179224,0,713146693,el paso,4818300,EL PASO ISD,El Paso County,55253
TX,Klein Independent School District,38991,2020,1688085132,1225799203,93750833,0,0,0,171536152,0,192705677,0,3764296,11189299,92174619,0,518687116,49445032,572606002,0,0,0,622051034,klein,4825740,KLEIN ISD,Harris County,54096
TX,Pasadena Independent School District,38993,2020,1358873648,797365821,87775873,0,0,0,209167194,0,237273584,0,271981,9177615,155032044,0,517671080,-31199867,713080606,48655507,81610,0,681880739,pasadena,4834320,PASADENA ISD,Harris County,52878
CA,San Francisco Unified School District,146595,2020,2652780917,897534000,90091449,4287000,0,0,836406746,0,782068572,0,0,2272277,313285564,0,974652263,-16753110,1306963214,9229242,0,0,1290210104,san francisco unified,0634410,San Francisco Unified,San Francisco County,52811
TX,Plano Independent School District,38877,2020,1471969476,823578740,271048351,0,0,0,174271009,0,198353587,0,3766513,20959370,116590537,0,791850518,57232413,872168012,7383507,0,0,929400425,plano,4835100,PLANO ISD,Collin County,52629
CA,Corona-Norco Unified School District,146048,2020,1511591818,678625184,75662863,25802026,0,0,625815620,0,76877208,0,5101062,7617180,122620657,0,569735177,-40933125,740906139,0,0,0,699973014,corona-norco unified,0609850,Corona-Norco Unified,Riverside County,52557
GA,School District Atlanta Public Schools,70961,2020,1457874182,0,94544551,0,0,0,926762156,0,348020497,0,5756392,2906192,298428243,8069933,755593032,107459381,957538019,0,0,0,1064997400,atlanta,1300120,Atlanta Public Schools,Fulton County,52416
TX,Lewisville Independent School District,38905,2020,2016853986,1571032794,99441710,0,0,0,159467259,0,183776610,0,3135613,21153088,83270862,0,647845060,76402745,675866265,1151790,48541,0,752269010,lewisville,4827300,LEWISVILLE ISD,Denton County,52189
TX,Round Rock Independent School District,39253,2020,1540696369,1141173684,104453665,0,0,0,124392763,0,165202836,0,5473421,11608971,95336120,2243837,524554689,12477187,621266430,0,0,0,633743617,round rock,4838080,ROUND ROCK ISD,Williamson County,50953
NC,Cumberland County Board of Education,36539,2020,746287666,0,35655479,0,0,0,183778157,0,490843482,676022,27872841,11746285,377295525,2161100,117466153,-8708115,517377178,0,0,0,508669063,cumberland,3700011,Cumberland County Schools,Cumberland County,50750
GA,Forsyth County Board of Education,32567,2020,1482624205,637949878,67196028,0,0,0,445614082,0,305628089,0,0,10760767,252309677,40707249,315327113,10521951,608582855,0,0,0,619104806,forsyth,1302220,Forsyth County,Forsyth County,50544
SC,Charleston County School District,43341,2020,2050410740,612843511,62734771,0,0,228045000,583236524,0,501590758,0,61960176,3865226,216812631,0,674446126,101015984,794107999,0,0,0,895123983,charleston,4501440,Charleston 01,Charleston County,50299
FL,Manatee County District School Board,148130,2020,651729633,136229868,49829053,1050287,0,0,278088728,0,11302048,0,34677143,9077507,22075489,2530791,584874900,-19545819,638104506,0,0,0,618558687,manatee,1201230,MANATEE,Manatee County,50088
LA,Jefferson Parish Public School System,76062,2020,1465097782,196691225,71202458,0,0,0,538799170,0,625990594,0,21790916,3344762,92463512,0,574273097,-12664617,682745988,0,0,0,670081371,jefferson parish,2200840,Jefferson Parish,Jefferson Parish,49862
OH,Columbus City School District,37083,2020,1621970087,509344451,99946089,80849,0,0,853903447,0,92781777,46421447,62566077,10567738,193029618,85925,771746690,-151565065,1126995036,0,0,0,975429971,columbus city,3904380,Columbus City School District,Franklin County,48759
CA,San Bernardino City Unified School District,31398,2020,1353469456,288299961,121245697,0,0,0,701302239,0,104039044,0,5875504,9816126,179410780,3567594,605116346,-101987687,899898533,0,0,0,797910846,san bernardino city unified,0634170,San Bernardino City Unified,San Bernardino County,48755
TX,San Antonio Independent School District,38823,2020,1599347637,1102057715,117674950,1127444,0,0,139264208,0,230247500,0,358773,4821377,217150782,0,555971921,18527466,759416614,2425001,0,0,777944080,san antonio,4838730,SAN ANTONIO ISD,Bexar County,48532
FL,Collier County District School Board,32378,2020,600855011,0,50154053,202641877,0,0,296446043,0,5027106,0,40471932,5619352,19078984,2035110,664314526,-13599498,704647470,0,0,0,691047972,collier,1200330,COLLIER,Collier County,47834
TX,Socorro Independent School District,38923,2020,1309743953,971736560,64805894,5597836,0,0,118210786,0,149392877,0,0,2934846,119151202,0,445999314,13861191,554224171,52969448,53840,0,568085362,socorro,4840710,SOCORRO ISD,El Paso County,47575
CA,Capistrano Unified School District,145992,2020,726686125,30016038,28746071,773087,0,0,500334962,0,110283407,0,4352134,6028185,68465399,0,453355422,-30720310,558569316,0,0,0,527849006,capistrano unified,0607440,Capistrano Unified,Orange County,46501
AK,Anchorage School District,40425,2020,998762854,489914086,38999834,2672312,0,0,436189898,24355214,5939509,0,13357920,7359778,131738548,20264427,633503534,117753419,675112868,0,0,0,792866287,anchorage,0200180,Anchorage School District,Anchorage Municipality,46143
CA,Santa Ana Unified School District,146617,2020,1377591091,385152202,67509707,0,11400054,0,664183248,0,161519880,0,4627547,4304831,176290553,-2501803,588103318,-20343148,786540047,0,0,0,766196899,santa ana unified,0635310,Santa Ana Unified,Orange County,45576
TX,Killeen Independent School District,38810,2020,814770682,456914454,57560400,0,0,0,133732517,0,164561822,0,1209247,1754208,47757760,0,491337300,10443588,530405680,0,0,0,540849268,killeen,4825660,KILLEEN ISD,Bell County,45336
TX,Alief Independent School District,38982,2020,791469325,346612378,78442500,0,0,0,164843644,0,191398931,0,6217816,6498551,133838968,0,438466478,-22657661,601461658,58699740,93386,0,578803997,alief,4807830,ALIEF ISD,Harris County,45300
TX,Humble Independent School District,44074,2020,1216359655,842615865,98535554,0,0,0,121906407,0,149154126,0,3894857,13765367,75100204,0,486083924,-8868544,583818039,0,0,0,574949495,humble,4823910,HUMBLE ISD,Harris County,45078
FL,Lake County District School Board,69471,2020,449502625,3861000,35125954,761146,0,0,203807740,0,16385010,0,20908051,3447520,20993390,1679566,467226797,34054702,459292571,0,0,0,493347273,lake,1201050,LAKE,Lake County,44793
MD,Frederick County Public Schools,189882,2020,960164547,0,40353913,31945115,0,0,41209266,0,812253229,0,9102639,5574472,167968413,86498795,458573096,-7881761,726496537,0,0,0,718614776,frederick,2400330,Frederick County Public Schools,Frederick County,43828
CA,Clovis Unified School District,146030,2020,1486986076,452098291,59856527,13867888,0,0,489521762,0,424477600,0,3473663,16059272,90249426,41479499,497934063,27923841,617798419,0,0,0,645722260,clovis unified,0609030,Clovis Unified,Fresno County,43654
FL,St. Johns County School District,189129,2020,510351766,35000860,23137850,0,0,9356000,212334986,0,26203755,0,33149551,27475122,15031125,28326810,447109984,60729550,457213491,62267668,0,0,517943041,st johns,1201740,ST. JOHNS,St. Johns County,43628
FL,Sarasota County District School Board,70160,2020,528129886,4602207,58374787,17051152,0,0,281295504,0,11825499,0,14486976,6477457,45729050,7911018,566377049,29501275,596993299,60402772,0,0,626494574,sarasota,1201680,SARASOTA,Sarasota County,43485
KY,Fayette County Public Schools,33654,2020,826524400,427804764,59685053,9159507,0,0,166598548,0,156850924,0,6425604,5566946,50157904,4770376,570611325,-5127407,636233958,0,0,0,631106551,fayette,2101860,Fayette County,Fayette County,43342
FL,Marion District School Board County,32408,2020,402832761,5501570,15661340,0,0,14430984,250125899,0,19838239,0,33891733,8079496,22108361,1982457,421802441,-19198634,473171389,0,0,0,453972755,marion,1201260,MARION,Marion County,43230
TX,United Independent School District,39239,2020,952490231,576394343,44901047,3977691,5040517,0,142191411,0,173952257,0,5307035,5102715,70594253,0,447313154,-21390986,544401108,42570587,24573,0,523010122,united,4843650,UNITED ISD,Webb County,43033
TX,Brownsville Independent School District,38854,2020,586322178,120605845,94971732,2552317,0,42043292,140539681,0,184854403,0,754908,2128548,96636967,0,480053023,7329572,571488966,0,0,0,578818538,brownsville,4811680,BROWNSVILLE ISD,Cameron County,43028
GA,Henry County Board of Education,32581,2020,1132140361,0,74461183,0,0,0,398450811,0,258075856,0,1890180,8237754,265413722,2448178,255374545,22858032,508616167,0,0,0,531474199,henry,1302820,Henry County,Henry County,43009
GA,Cherokee County School District,105267,2020,1227419416,472710291,59972834,0,0,0,419413252,0,273784693,0,1538346,8179194,259413966,4500880,256607042,2915041,525786041,0,0,0,528701082,cherokee,1301110,Cherokee County,Cherokee County,42766
TX,Clear Creek Independent School District,38948,2020,1400136500,1067559573,68668106,0,0,0,119560786,0,139419865,0,4928170,18672978,66999736,0,425024622,-12925719,523623055,7807098,4084630,0,510697336,clear creek,4814280,CLEAR CREEK ISD,Galveston County,42388
